CRN,Course,Time,Days,Location,Seats Still Available,STATUS
8247,ACCT 200,0800-0850,MWF,LUTR 142,24,Open
9248,ACCT 200,1100-1150,MWF,LUTR 242,11,Open
8249,ACCT 201,0900-0950,MWF,LUTR 347,16,Open
8251,ACCT 201,1000-1050,MWF,LUTR 347,23,Open
8253,ACCT 201,1400-1450,MWF,LUTR 123,22,Open
8254,ACCT 201,1630-1745,TR,LUTR 137,19,Open
8255,ACCT 201,1300-1350,MWF,LUTR 123,22,Open
8256,ACCT 201,0800-0850,MWF,LUTR 137,22,Open
9250,ACCT 201,1100-1215,TR,LUTR 142,21,Open
8257,ACCT 202,1500-1615,TR,LUTR 123,18,Open
9255,ACCT 202,1100-1215,TR,LUTR 123,18,Open
8259,ACCT 301,1100-1150,MWF,LUTR 123,18,Open
9256,ACCT 301,1200-1250,MWF,LUTR 142,10,Open
8262,ACCT 405,1300-1350,MWF,FORBES 3012,0,Closed
9296,ACCT 406,,,ARR ,0,Closed
9251,ACCT 451,0930-1045,TR,LUTR 142,0,Closed
8264,ACCT 500,1800-1915,MW,LUTR 142,23,Open
8265,ACCT 502,1500-1615,TR,LUTR 142,6,Open
8266,ACCT 570,1600-1715,MW,LUTR 123,7,Open
8267,ACCT 572,1930-2045,MW,LUTR 142,7,Open
9208,AMST 100,1000-1050,MWF,MCM 312,0,Closed
9209,AMST 100,1100-1150,MWF,MCM 260,0,Closed
8877,AMST 100,1200-1250,MWF,MCM 212,0,Closed
8878,AMST 100,1300-1350,MWF,MCM 212,1,Open
8879,AMST 100,1330-1445,TR,MCM 101,36,Open
8884,AMST 100,1400-1450,MWF,MCM 316,1,Open
8885,AMST 100,1500-1550,MWF,MCM 316,0,Closed
8886,AMST 120,0930-1045,TR,MCM 114,0,Closed
8887,AMST 120,1630-1745,TR,MCM 114,21,Open
9210,AMST 200,1100-1215,TR,MCM 312,15,Open
9211,AMST 200,1500-1615,TR,MCM 114,19,Open
9203,AMST 220,1600-1715,MW,MCM 360,3,Open
9231,AMST 295,1100-1215,TR,FORBES 3014,1,Open
8890,AMST 300,1930-2045,MW,MCM 360,6,Open
8891,AMST 320,1000-1050,MWF,TFAC 205,0,Closed
9282,AMST 490,,,ARR ,0,Closed
8549,ANTH 200,1100-1215,TR,LUTR 170,21,Open
8550,ANTH 200,1330-1445,TR,LUTR 170,29,Open
8551,ANTH 203,1500-1615,TR,FORBES 2070A,12,Open
8552,ANTH 203,1630-1745,TR,FORBES 2070A,10,Open
9290,ANTH 309,1330-1445,TR,FORBES 2070C,5,Open
8553,ANTH 310,1100-1215,TR,FORBES 2088,13,Open
8554,ANTH 331,1500-1550,MWF,LUTR 167,12,Open
9285,ANTH 345,1400-1450,MWF,LUTR 167,14,Open
8929,ARAB 101,1000-1050,MWF,MCM 314,9,Open
8930,ARAB 101,1200-1250,MWF,MCM 362,6,Open
8931,ARAB 201,1300-1350,MWF,MCM 362,16,Open
9235,BCHM 395,1400-1450,MWF,FORBES 3012,22,Open
8199,BCHM 414,0800-0850,MWF,FORBES 2070E,30,Open
8200,BCHM 414L,1300-1650,F,FORBES 3048,16,Open
8201,BCHM 414L,1330-1720,R,FORBES 3048,15,Open
8098,BIOL 107,1800-1915,TR,FORBES 1022,0,Closed
8099,BIOL 109L,1400-1550,M,FORBES 1027,5,Open
8100,BIOL 109L,1600-1750,M,FORBES 1027,14,Open
8101,BIOL 109L,1800-1950,M,FORBES 1027,11,Open
8102,BIOL 109L,2000-2150,M,FORBES 1027,21,Open
8103,BIOL 109L,1800-1950,T,FORBES 1027,0,Closed
8104,BIOL 109L,2000-2150,T,FORBES 1027,15,Open
